seq_id	ormerod_family	genus
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB214328.BcrIntes	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB253733.BcrGalli	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB490801.BcrClaru	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB490802.BcrFluxu	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB531489.BcrRoden	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AJ318179.Unc29112	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AF132263.Unc26878	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AJ408982.Unc29280	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AJ315484.Unc29064	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB021158.BcrAcidi	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB021159.BcrAcid3	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AB222699.BcrFineg	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||GQ496624.BcrFaec2	Bacteroidaceae	Bacteroides
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides||AF133539.BcrSpe29	Bacteroidaceae	Bacteroides
Bacteria|Cyanobacteria|Cyanobacteria|SubsectionIV|FamilyI|Anabaena||AJ293105.DolSolit	outgroup	Anabaena
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus||AB002485.StrDysga	outgroup	Streptococcus
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas||AB001440.PseSyri4	outgroup	Pseudomonas
